"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Manufacturer_Part_Number"
"C8,C9,C10,C11","4","1m","","","","Capacitor_THT:CP_Radial_D30.0mm_P10.00mm_SnapIn","HJ1J109M30050HC"
"D2","1","D15XB80-7000","","","","supply:D25XB1007000","D15XB80-7000"
"F1","1","T1.6 A","","","","Fuse:Fuseholder_Cylinder-5x20mm_Schurter_0031_8201_Horizontal_Open","0031.8201"
"F2","1","T4 A, 100VDC","","","","supply:FUSE_0154004.DRT","0154004.DRT"
"H1,H2,H3,H4,H5","5","M3","","","","supply:WA-SMSI_97730256330","9774040360R"
"HS1","1","SK 444 50 SA","","","","supply:SK 444 50 SA","SK_444 5_SA"
"J1,J3,J5,J7","4","Conn_01x01","","","","supply:726386-2","726386-2"
"J2,J6","2","Screw","","","","supply:43045-04YY_121314","43045-04YY_121314"
"Q1,Q2","2","TIP147","","","","supply:TO545P515X1560X2445-3P","TIP147"
"Q4","1","BC857C","","","","Package_TO_SOT_SMD:SOT-23","BC857C"
"R1","1","70m","","","","","TLRP3A30CR070FTE"
"R2","1","5k","","","","Resistor_SMD:R_0805_2012Metric","RC0603FR-074K7L"
"R4","1","4.7k","","","","Resistor_SMD:R_0805_2012Metric","RC0603FR-074K7L"
"R7,R8,R9","3","0R","","","","Resistor_SMD:R_0603_1608Metric","CRCW06030000Z0EA"
"RV1","1","10D561","","","","supply:MOV-14D_5.2MM-T_","10D561"
