"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Manufacturer_Part_Number"
"C1,C2,C3,C4,C8,C11,C13,C15,C20,C23,C24,C25,C27,C32,C34,C36,C39,C40,C43,C44,C45,C46,C47,C48,C51","25","100n","","","","0805B104K500CT"
"C9,C10","2","10u","","","","293D106X9010A2TE3"
"C41,C42","2","22u","","","","293D226X9010A2TE3"
"C26,C29,C33,C35","4","4.7u","","","","293D475X9016B2TE3"
"U5,U7","2","SSD1302Z_HALF","","","","52746-1671"
"D6","1","BAS70X-TP","","","","BAS70X-TP"
"BT1","1","ML1220","","","","BAT-HLD-012-SMT"
"C16,C31","2","4.7u/25V","","","","CL10A475KO8NNNC"
"C12,C18,C19,C21,C28,C37,C49","7","1u","","","","CL10B105KA8NNNC"
"C17,C30","2","1u/25V","","","","CL10B105KA8NNNC"
"C22","1","220n","","","","CL10B224KO8NNNC"
"C38,C50","2","22p","","","","CL10C220JB8NNNC"
"R2,R3,R4,R5,R8,R10,R15,R16,R20,R21","10","1M","","","","CRCW06031M00FKEA"
"J3","1","FFC2B35-10-T","","","","FFC2B35-10-T"
"J1","1","FTSH-105-01-L-DV-K","","","","FTSH-105-01-L-DV-K"
"U4","1","AMS1117-3.3","","","","LD1117S33TR"
"SW6","1","ENCODER 24IMP","","","","PEC11R-4220F-S0024"
"Y1","1","32.768 kHz","","","","QT3CD-32.768KDZY-T"
"D2,D3,D4,D5","4","RB500VM-40TE-17","","","","RB500VM-40TE-17"
"R9,R11,R12,R17,R18,R19","6","10k","","","","RC0603FR-0710KL"
"R6,R7","2","49.9R","","","","RC0603FR-0749R9L"
"R1","1","100R","","","","RC0603FR-07100RL"
"D1","1","SFH_203_FA","","","","SFH 203 FA"
"U3","1","VSOP38338","","","","VSOP38338"
"L2","1","33u","","","","WE-LQ_L49"
"R14","1","390R","","","","WR06X3900FTL"
